id,code,subject,catalog nbr,section,class nbr,course title,component,units,topics,Bldg,room,days,time,Instructor,Class Enrl Cap,Class Enrl Tot,Class Wait Cap,Class Wait Tot,Class Min Enrl
11093,ENGL 370,ENGL,370,2,15282,"RACE, HEALTH, AND NARRATIVE",Lecture(In Person On Campus Learners),3,A, Dey Hall,210, MWF , 13:25 - 14:15,"["" CURRENT,CYNTHIA A""]",20,19,999,0,0
11094,ENGL 380,ENGL,380,1,14264,TOPICS IN FILM HISTORY,Lecture(In Person On Campus Learners),3,A, Greenlaw Hall, 526B , MWF , 13:25 - 14:15,"["" WARNER Jr,CHARLES RICHARD""]",20,20,999,1,0
11095,ENGL 381,ENGL,381,1,12289,LITERATURE & CINEMA,Lecture(In Person On Campus Learners),3,A, Greenlaw Hall,301, MWF , 12:20 - 13:10,"["" VEGGIAN,HENRY""]",20,16,999,0,0
11096,ENGL 390,ENGL,390,2,14279,STD IN LIT TOPICS,Lecture(In Person On Campus Learners),3,A,NULL,NULL,NULL,NULL,"["" DeGooyer,Stephanie""]",20,18,999,0,0
11097,ENGL 392,ENGL,392,1,14697,PROFESSIONAL PORTFOLIO,Lecture(In Person On Campus Learners),3,A, Greenlaw Hall,106, MWF , 13:25 - 14:15,"["" JACK,JORDYNN M""]",20,20,999,1,0
11098,ENGL 408,ENGL,408,1,12291,COMPOSERS & LYRICISTS,Lecture(In Person On Campus Learners),3,A, Person Hall,100, TuTh , 12:30 - 13:45,"["" DORE,FLORENCE WEILER""]",18,19,999,0,0
11099,ENGL 425,ENGL,425,1,14814,LITERATURE AND ARCHIVES,Lecture(In Person On Campus Learners),3,A, Greenlaw Hall,318, TuTh , 15:30 - 16:45,"["" LANGBAUER,LAURIE""]",20,23,999,2,0
11100,ENGL 437,ENGL,437,1,14266,CHIEF BRIT ROMANTIC WTRS,Lecture(In Person On Campus Learners),3,A, Greenlaw Hall,318, TuTh , 11:00 - 12:15,"["" VISCOMI,JOSEPH S""]",25,14,999,0,0
11101,ENGL 447,ENGL,447,1,10807,MEMORY AND LITERATURE,Lecture(In Person On Campus Learners),3,A, Greenlaw Hall,103, TuTh , 15:30 - 16:45,"["" CHRISTMAS,DANIELLE MARIE""]",20,9,999,0,0
11102,ENGL 464,ENGL,464,1,14945,LATINX HYBRID NARRATIVE,Lecture(In Person On Campus Learners),3,A, Greenlaw Hall,222, TuTh , 11:00 - 12:15,"["" Irizarry,Ylce""]",25,12,999,0,0
11103,ENGL 472,ENGL,472,1,14267,AFAM LIT-ISSUES,Lecture(In Person On Campus Learners),3,A, Dey Hall,313, TuTh , 12:30 - 13:45,"["" Jones,Meta DuEwa""]",25,4,999,0,0
11104,ENGL 473,ENGL,473,2,14684,CHANGING COASTS OF CAROLINA,Lecture(In Person On Campus Learners),3,A, Mitchell Hall,205, TuTh , 14:00 - 15:15,"["" MCKEE,BRENT A""]",10,10,999,1,0
11105,ENGL 482,ENGL,482,1,10808,RHETORIC OF,DIGITAL(In Person On Campus Learners),HUMANITIESLecture 3,A, Greenlaw Hall,316, TuTh , 12:30 - 13:45,"["" RIVARD,COURTNEY J""]",23,23,999,7,0
11106,ENGL 490,ENGL,490,2,17628,CREATIVE WRITING:,SPEC.(In Person On Campus Learners),TOPICSLecture 3,A, Dey Hall,202, TuTh , 09:30 - 10:45 IMPROV GAMES,"["" WHITE,ROSS V""]",15,0,0,0,0
11107,ENGL 666,ENGL,666,1,9495,QUEER LATINA/O TEXT/IMAG,Lecture(In Person On Campus Learners),3,A, Stone Center,210, TuTh , 14:00 - 15:15,"["" Deguzman,Maria""]",15,10,999,0,0
11108,ENGL 706,ENGL,706,1,9748,RHET THRY & PRACT,Lecture(In Person On Campus Learners),3,A, Greenlaw Hall, 526A , F , 09:00 - 12:00,"["" ANDERSON,DANIEL R""]",12,12,999,1,0
11109,ENGL 763,ENGL,763,1,14289,INTRO TO HEALTH HUMANITIES,Lecture(In Person On Campus Learners),3,A,NULL,NULL,NULL,NULL,"["" Weed-Buzinski,Kym""]",15,11,999,0,0
11110,ENGL 786,ENGL,786,1,6476,INTRODUCTION TO,GRADUATE(In Person On Campus Learners),STUDYLecture 3,A, Greenlaw Hall,524, F , 14:00 - 17:00,"["" Cushman,Helen""]",20,12,999,0,0
11111,ENGL 805,ENGL,805,1,14717,STUD IN RHET & COMP,Lecture(In Person On Campus Learners),3,A, TBA, TBA , M , 10:00 - 13:00,"["" JACK,JORDYNN M""]",15,3,999,0,0
11112,ENGL 821,ENGL,821,1,14718,SEM MID ENGL LIT,Lecture(In Person On Campus Learners),3,A, TBA, TBA , M , 14:00 - 17:00,"["" Cowdery,Taylor Heywood""]",15,1,999,0,0
11113,ENGL 830,ENGL,830,1,14854,"STUD IN REN, NON-DRAMA",Lecture(In Person On Campus Learners),3,A, Dey Hall,405, W , 14:30 - 17:30,"["" BARBOUR,ASHLEY R""]",15,5,999,0,0
11114,ENGL 837,ENGL,837,1,14297,ENG,LIT(In Person On Campus Learners),1780-1832 Lecture 3,A, Stone Center,200, Th , 13:15 - 16:15 ROMANTICISM & ITS OT,"["" MOSKAL,JEANNE""]",15,3,999,0,0
11115,ENGL 844,ENGL,844,1,12210,SEM AM,LIT(In Person On Campus Learners),1860-1900 Lecture 3,A, Murphey Hall,221, Tu , 14:30 - 17:30,"["" GURA,PHILIP F""]",12,6,999,0,0
11116,ENGL 864,ENGL,864,1,12208,LATINA/O STUDIES,Lecture(In Person On Campus Learners),3,A, Hamilton Hall,420, Th , 15:30 - 18:30,"["" Irizarry,Ylce""]",15,5,999,0,0
11117,ENGL 871,ENGL,871,1,12212,SEM AFAM LIT,Lecture(In Person On Campus Learners),3,A, Phillips Hall,220, TuTh , 11:00 - 12:15,"["" FISHER,REBECKA Rutledge""]",15,5,999,0,0
11118,ENGL 992,ENGL,992,3,5913,MASTER'S (NON-THESIS),Lecture(In Person On Campus Learners),3,A, TBA, TBA , TBA , TBA,"["" WOLFE,JESSICA L""]",5,0,999,0,0
11119,ENGL 993,ENGL,993,1,9273,MASTER'S RESEARCH AND THESIS,Lecture(In Person On Campus Learners),3,A, TBA, TBA , TBA , TBA,"["" Weed-Buzinski,Kym""]",1,1,999,0,0
11120,ENGL 994,ENGL,994,30,4514,DOCT RESEARCH,AND(In Person On Campus Learners),DISSERTATIONLecture 3,A, TBA, TBA , TBA , TBA,"["" Staff""]",10,0,999,0,0
11121,ECON 101,ECON,101,803,14956,ECON: INTRO,Recitation(In Person On Campus Learners),4,A, Davie Hall,101, F , 12:20 - 13:10,"["" Staff""]",18,18,999,0,0
11122,ECON 111,ECON,111,1,13352,ECON FOR ENTREPRENEURS,Lecture(In Person On Campus Learners),3,A, Gardner Hall,8, TuTh , 14:00 - 15:15,"["" McDonough II,Robert John""]",75,75,999,0,0
11123,ECON 125,ECON,125,1,6663,INTRO TO ENTREPRENEURSHIP,Lecture(In Person On Campus Learners),3,A,NULL,NULL,NULL,NULL,"["" Greene,Susan"","" SHERAN-ANDREWS,MICHELLE E""]",375,375,999,127,0
11124,ECON 193,ECON,193,1,14638,INTERNSHIP Field,Work(In Person On Campus Learners),3-Jan,A, TBA, TBA , TBA , TBA,"["" VAIDYANATHAN,GEETHA""]",20,0,999,0,0
11125,ECON 291,ECON,291,1,7232,LEARN ASST SEMINAR,&(In Person On Campus Learners),PRACTICUMLab 1 - 3,A, Gardner Hall,211, W , 12:20 - 13:20,"["" SHERAN-ANDREWS,MICHELLE E""]",30,23,999,0,0
11126,ECON 292,ECON,292,1,10297,CAREER PREP FOR ECON MAJORS,Lecture(In Person On Campus Learners),1,A, Gardner Hall,1, W , 14:30 - 15:45,"["" Norwood,Michael Morgan""]",11,7,999,0,0
11127,ECON 293,ECON,293,1,6888,INTERNSHIP,Lecture(In Person On Campus Learners),3,A, TBA, TBA , TBA , TBA,"["" Flabbi,Luca""]",20,25,999,0,0
11128,ECON 310,ECON,310,1,8983,APPLIED MICRO,Lecture(In Person On Campus Learners),3,A, Gardner Hall,8, MWF , 14:30 - 15:20,"["" Lagos Mondragon,Roberto""]",60,30,999,0,0
11129,ECON 325,ECON,325,1,7853,ENTREPRENEURSHIP: P & P,Lecture(In Person On Campus Learners),3,A, Gardner Hall,8, TuTh , 11:00 - 12:15,"["" Mumford,Christopher Lee""]",95,94,999,0,0
11130,ECON 327,ECON,327,5,11936,VENTURE-CREATION WORKSHOP,Lecture(In Person On Campus Learners),3,A, Hanes Art Center,215, TuTh , 14:00 - 15:15,"["" Mumford,Christopher Lee""]",30,30,999,13,0
11131,ECON 345,ECON,345,1,8984,PUB POL TOWARD BUS,Lecture(In Person On Campus Learners),3,A, Gardner Hall,307, MWF , 12:20 - 13:10,"["" Bollinger,Thomas Rs""]",40,40,999,1,0
11132,ECON 370,ECON,370,1,11216,ECON APPLICATION DATA SCIENCE,Lecture(In Person On Campus Learners),3,A, Gardner Hall,307, MWF , 13:25 - 14:15,"["" Van Kuiken,Andrew Carlson""]",40,29,999,0,0
11133,ECON 380,ECON,380,1,4265,ECON OF LABOR REL,Lecture(In Person On Campus Learners),3,A, Gardner Hall,307, MWF , 14:30 - 15:20,"["" Suvorov,Ivan""]",40,37,999,1,0
11134,ECON 384,ECON,384,606,13764,GATEWAY TO PHIL/POLI/ECON,Recitation(In Person On Campus Learners),3,A, Alumni Bldg,205, F , 13:25 - 14:15,"["" Dominiak,Nicole Claire""]",5,5,999,1,0
11135,ECON 393,ECON,393,1,8982,PRACTICUM IN ENTREPRENEURSHIP,Lecture(In Person On Campus Learners),6-Mar,A, Gardner Hall,8, TuTh , 15:30 - 16:45,"["" Bell,Bernard Edgar""]",100,0,999,0,0
11136,ECON 400,ECON,400,708,13378,DATA SCIENCE AND ECONOMETRICS,Recitation(In Person On Campus Learners),4,A, Gardner Hall,307, W , 15:35 - 16:25,"["" Handy,Christopher Michael""]",29,29,999,0,0
11137,ECON 410,ECON,410,705,11974,INTERMEDIATE MICROECONOMICS,Recitation(In Person On Campus Learners),4,A, Dey Hall,203, M , 15:35 - 16:25,"["" HILL,JONATHAN B""]",30,12,999,0,0
11138,ECON 415,ECON,415,1,11983,MARKET FAILURES,Lecture(In Person On Campus Learners),3,A, Gardner Hall,308, TuTh , 11:00 - 12:15,"["" SHERAN-ANDREWS,MICHELLE E""]",45,45,999,54,0
11139,ECON 420,ECON,420,1,4114,INTERMEDIATE MACROECONOMICS,Lecture(In Person On Campus Learners),3,A,NULL,NULL,NULL,NULL,"["" Roark,Christopher James""]",245,244,999,23,0
11140,ECON 423,ECON,423,1,11985,FINANCIAL MARKETS,Lecture(In Person On Campus Learners),3,A, Gardner Hall,308, TuTh , 12:30 - 13:45,"["" Lee,Irisa""]",42,42,999,9,0
11141,ECON 425,ECON,425,3,17623,FINANCIAL ECONOMICS,Lecture(In Person On Campus Learners),3,A, Gardner Hall,307, TuTh , 08:00 - 09:15,"["" Liu,Yi""]",45,0,0,0,0
11142,ECON 440,ECON,440,2,13398,ANALY PUBLIC FIN,Lecture(In Person On Campus Learners),3,A, Gardner Hall,309, TuTh , 15:30 - 16:45,"["" Gong,Qing""]",45,45,999,41,0
11143,ECON 445,ECON,445,2,15061,IND ORG,Lecture(In Person On Campus Learners),3,A, Gardner Hall,7, TuTh , 15:30 - 16:45,"["" Capron,Andrew Morgan West""]",45,32,999,0,0
11144,ECON 450,ECON,450,1,11132,HLTH ECON/POLICY,Lecture(In Person On Campus Learners),3,A, Gardner Hall,307, TuTh , 11:00 - 12:15,"["" Hincapie Norena,Andres Gonzalo""]",45,29,999,0,0
11145,ECON 455,ECON,455,2,14943,ENVIRONMENTAL ECON THEORY,Lecture(In Person On Campus Learners),3,A, Gardner Hall,309, TuTh , 11:00 - 12:15,"["" Staff""]",45,45,999,7,0
11146,ECON 460,ECON,460,2,9455,INTERNATIONAL ECON,Lecture(In Person On Campus Learners),3,A, Gardner Hall,309, MW , 15:35 - 16:50,"["" VAIDYANATHAN,GEETHA""]",35,35,999,20,0
11147,ECON 468,ECON,468,1,7852,SOCIALIST/RUSSIAN ECONOMY,Lecture(In Person On Campus Learners),3,A, Gardner Hall,309, TuTh , 08:00 - 09:15,"["" ROSEFIELDE,STEVEN S""]",45,45,999,0,0
11148,ECON 470,ECON,470,2,8896,ECONOMETRICS,Lecture(In Person On Campus Learners),3,A, Gardner Hall,8, MW , 11:15 - 12:30,"["" Kedagni,Desire""]",55,55,999,9,0
11149,ECON 480,ECON,480,2,12467,LABOR ECONOMICS,Lecture(In Person On Campus Learners),3,A, Gardner Hall,209, MW , 12:20 - 13:35,"["" Staff""]",0,0,999,0,0
11150,ECON 487,ECON,487,1,14637,ECONOMICS OF LIFE,Lecture(In Person On Campus Learners),3,A, Caldwell Hall,105, MW , 09:05 - 10:20,"["" McDuff,Robert DeForest""]",60,60,999,48,0
11151,ECON 495,ECON,495,1,15236,RESEARCH COURSE,Lecture(In Person On Campus Learners),3-Jan,A, TBA, TBA , TBA , TBA,"["" Fruehwirth,Jane Cooley""]",1,1,999,0,0
11152,ECON 496,ECON,496,1,11996,INDEPENDENT STUDY,Lecture(In Person On Campus Learners),3-Jan,A, TBA, TBA , TBA , TBA,"["" Staff""]",0,0,999,0,0
11153,ECON 510,ECON,510,2,13400,ADV MICRO THEORY,Lecture(In Person On Campus Learners),3,A, Gardner Hall,106, TuTh , 11:00 - 12:15,"["" PARREIRAS,SERGIO O""]",35,35,999,4,0
11154,ECON 520,ECON,520,3,15039,ADV MACRO THEORY,Lecture(In Person On Campus Learners),3,A, Gardner Hall,209, TuTh , 11:00 - 12:15,"["" FRANCIS,NEVILLE R""]",35,35,999,0,0
11155,ECON 551,ECON,551,1,13404,ECONOMICS OF EDUCATION,Lecture(In Person On Campus Learners),3,A, Gardner Hall,308, TuTh , 09:30 - 10:45,"["" Fruehwirth,Jane Cooley""]",35,36,999,11,0
11156,ECON 571,ECON,571,1,13405,ADVANCED ECONOMETRICS,Lecture(In Person On Campus Learners),3,A, Gardner Hall,106, MW , 09:05 - 10:20,"["" VERDIER,VALENTIN""]",40,38,999,0,0
11157,ECON 573,ECON,573,1,10371,MACHINE LEARNING/ECONOMETRICS,Lecture(In Person On Campus Learners),3,A, Gardner Hall,309, TuTh , 12:30 - 13:45,"["" Babii,Andrii""]",35,35,999,10,0
11158,ECON 698,ECON,698,4,14586,PHIL/POLI/ECON CAPSTONE,Lecture(In Person On Campus Learners),3,A, Hanes Hall,112, MW , 16:40 - 17:55,"["" Rothfus,Gerard J""]",8,3,999,0,0
11159,ECON 701,ECON,701,601,13406,ANALYTICAL METHODS,Recitation(In Person On Campus Learners),3,A, Gardner Hall,7, F , 09:30 - 10:45,"["" Chen,Yang""]",0,0,999,0,0
11160,ECON 710,ECON,710,601,4170,ADV MICRO-EC THR I,Recitation(In Person On Campus Learners),3,A, Gardner Hall,7, F , 11:00 - 12:15,"["" Chen,Yang""]",20,1,999,0,0
11161,ECON 720,ECON,720,601,4179,ADV MACRO-EC THRY I,Recitation(In Person On Campus Learners),3,A, Gardner Hall,7, F , 14:00 - 15:15,"["" HENDRICKS,LUTZ A""]",20,0,999,0,0
11162,ECON 770,ECON,770,601,4172,ECONOMETRIC THEORY,Recitation(In Person On Campus Learners),3,A, Gardner Hall,7, F , 12:30 - 13:45,"["" Hansen,Peter Reinhard""]",20,2,999,0,0
11163,ECON 805,ECON,805,1,8775,TEACHING METHODS IN ECONOMICS,Lecture(In Person On Campus Learners),3-Jan,A, Gardner Hall,106, Tu , 17:00 - 19:00,"["" SHERAN-ANDREWS,MICHELLE E""]",25,0,999,0,0
11164,ECON 822,ECON,822,1,13408,FIRM DYNAMICS PROD NETWORKS,Lecture(In Person On Campus Learners),3,A, Gardner Hall,309, M , 10:00 - 12:30,"["" Tian,Can""]",20,0,999,0,0
11165,ECON 846,ECON,846,1,12011,THEORETICAL IND ORG,Lecture(In Person On Campus Learners),3,A, Gardner Hall,106, Th , 15:30 - 18:15,"["" BIGLAISER,GARY A""]",35,1,999,0,0
11166,ECON 847,ECON,847,1,9061,EMPIRICAL IND ORG I,Lecture(In Person On Campus Learners),3,A, Gardner Hall,209, TuTh , 12:30 - 13:45,"["" Duarte Filho,Marco Antonio""]",20,0,999,0,0
11167,ECON 850,ECON,850,1,13409,HEALTH ECONOMICS,Lecture(In Person On Campus Learners),3,A, Gardner Hall,211, Tu , 15:30 - 18:15,"["" GILLESKIE,DONNA B""]",20,0,999,0,0
11168,ECON 871,ECON,871,1,9746,TIME SERIES,Lecture(In Person On Campus Learners),3,A, Gardner Hall,209, TuTh , 09:30 - 10:45,"["" Hansen,Peter Reinhard""]",20,1,999,0,0
11169,ECON 874,ECON,874,1,13410,ADV TOPICS CAUSAL INFERENCE,Lecture(In Person On Campus Learners),3,A, Gardner Hall,7, MW , 13:25 - 14:40,"["" Kedagni,Desire""]",20,0,999,0,0
11170,ECON 883,ECON,883,1,15334,SEARCH THEORY,Lecture(In Person On Campus Learners),3,A, Gardner Hall,106, TuTh , 14:00 - 15:15,"["" NORMAN,PETER""]",20,0,999,0,0
11171,ECON 892,ECON,892,3,13229,RESEARCH PRACTICUM,Lecture(In Person On Campus Learners),3-Jan,A, TBA, TBA , TBA , TBA,"["" Staff""]",5,0,999,0,0
11172,ECON 910,ECON,910,1,9458,DISS WORKSHOP MICROECON,Lecture(In Person On Campus Learners),3-Jan,A, Gardner Hall,211, M , 11:30 - 12:45,"["" Chen,Yang""]",10,0,999,0,0
11173,ECON 920,ECON,920,1,4175,DISS WORKSHOP MACROECON,Lecture(In Person On Campus Learners),3-Jan,A, Gardner Hall,307, W , 09:30 - 10:45,"["" Staff""]",10,0,999,0,0
11174,ECON 945,ECON,945,1,13411,DISS WKSHP IND ORG,Lecture(In Person On Campus Learners),1.5,A, Gardner Hall,7, W , 11:30 - 12:45,"["" Duarte Filho,Marco Antonio""]",10,0,999,0,0
11175,ECON 970,ECON,970,1,7571,WKSHP ECONOMETRIC FIN EC,Lecture(In Person On Campus Learners),3-Jan,A, Gardner Hall,307, F , 10:00 - 11:30,"["" Kedagni,Desire""]",10,0,999,0,0
11176,ECON 985,ECON,985,1,5828,DISS WORKSHOP APPL MICRO,Lecture(In Person On Campus Learners),3-Jan,A, Gardner Hall,307, Tu , 12:30 - 13:45,"["" Hincapie Norena,Andres Gonzalo""]",20,0,999,0, 0 0019
11177,ECON 992,ECON,992,20,9270,MASTER'S (NON-THESIS),Lecture(In Person On Campus Learners),3,A, TBA, TBA , TBA , TBA,"["" Staff""]",5,0,999,0,0
11178,ECON 994,ECON,994,26,13236,DOCT RESEARCH,AND(In Person On Campus Learners),DISSERTATIONLecture 3,A, TBA, TBA , TBA , TBA,"["" Staff""]",5,0,999,0,0
11179,EMES 53,EMES,53,1,14095,FYS ENDS OF THE EARTH,Lecture(In Person On Campus Learners),3,A, Murray Hall, G201 , TuTh , 09:30 - 10:45,"["" ARNOSTI,CAROL""]",22,22,0,0,0
11180,EMES 55,EMES,55,1,14097,FYS: CHANGE IN COASTAL OCEAN,Lecture(In Person On Campus Learners),3,A, Murray Hall, G205 , TuTh , 11:00 - 12:15,"["" MARTENS,CHRISTOPHER S""]",22,22,0,0,0
11181,EMES 59,EMES,59,1,14096,FYS MICROORGANISMS,Lecture(In Person On Campus Learners),3,A, Murray Hall, G201 , TuTh , 12:30 - 13:45,"["" TESKE,ANDREAS P""]",23,23,0,0,0
11182,EMES 101,EMES,101,4,8008,PLANET EARTH,Lecture(In Person On Campus Learners),3,A, Mitchell Hall,5, TuTh , 12:30 - 13:45,"["" Flores Reyes,Kennet Eduardo""]",119,111,999,0,0
11183,EMES 103,EMES,103,1,3855,MARINE ENVIRONMENT,Lecture(In Person On Campus Learners),3,A, Mitchell Hall,5, MWF , 10:10 - 11:00,"["" CASTILLO,KARL DAVID""]",88,76,999,0,0
11184,EMES 105,EMES,105,1,14108,NATURAL DISASTERS,Lecture(In Person On Campus Learners),4,A, Greenlaw Hall,101, TuTh , 15:30 - 16:45,"["" Kirby,Eric"","" Kirby,Eric""]",91,90,999,0,0
11185,EMES 201,EMES,201,1,10786,EARTH'S SURFACE,Lecture(In Person On Campus Learners),3,A, Mitchell Hall,5, MWF , 09:05 - 09:55,"["" Plenge,Megan Franks""]",34,21,999,0,0
11186,EMES 203,EMES,203,1,14109,DATA ANALYSIS EMES,Lecture(In Person On Campus Learners),3,A, Gardner Hall,8, MWF , 10:10 - 11:00,"["" LEES,JONATHAN M""]",60,60,999,1,0
11187,EMES 301,EMES,301,402,8585,EARTH MAT: MINERALS,Lab(In Person On Campus Learners),4,A, Mitchell Hall,308, M , 14:30 - 17:20,"["" COLEMAN,DREW S""]",12,2,999,0,0
11188,EMES 302,EMES,302,401,14116,STRUCTURAL GEOLOGY,Lab(In Person On Campus Learners),4,A, Mitchell Hall,9, Tu , 14:00 - 16:45,"["" STEWART,KEVIN G""]",29,25,999,0,0
11189,EMES 306,EMES,306,1,11898,EARTH SYSTEMS HISTORY,Lecture(In Person On Campus Learners),3,A, Mitchell Hall,205, TuTh , 11:00 - 12:15,"["" SURGE,DONNA M""]",30,18,999,0,0
11190,EMES 395,EMES,395,51,6373,EMES UNDERGRAD RESEARCH,Lecture(In Person On Campus Learners),3-Jan,A, TBA, TBA , TBA , TBA,"["" Staff""]",0,0,999,0,0
11191,EMES 401,EMES,401,2,14118,OCEANOGRAPHY,Lecture(In Person On Campus Learners),3,A, Dey Hall,305, MW , 15:30 - 16:45,"["" ALPERIN,MARC J""]",10,4,999,0,0
11192,EMES 432,EMES,432,1,14121,PALEOCLIMATOLOGY,Lecture(In Person On Campus Learners),3,A, Mitchell Hall,205, TuTh , 12:30 - 13:45,"["" SURGE,DONNA M""]",30,7,999,0,0
11193,EMES 435,EMES,435,1,14120,GROUNDWATER,Lecture(In Person On Campus Learners),3,A, Mitchell Hall,205, TuTh , 09:30 - 10:45,"["" Sebastian,Antonia""]",25,2,999,0,0
11194,EMES 444,EMES,444,1,11847,MARINE PHYTOPLANKTON,Lecture(In Person On Campus Learners),3,A, Murray Hall, G201 , MWF , 10:10 - 11:00,"["" MARCHETTI,ADRIAN""]",20,13,999,0,0
11195,EMES 473,EMES,473,2,15076,CHANGING COASTS OF CAROLINA,Lecture(In Person On Campus Learners),3,A, Mitchell Hall,205, TuTh , 14:00 - 15:15,"["" MCKEE,BRENT A""]",10,10,999,0,0
11196,EMES 490,EMES,490,1,13319,SPEC TOPICS EMES,Lecture(In Person On Campus Learners),3-Jan,A, Murray Hall, G205 , MWF , 11:15 - 12:05 Coral Reefs and Clim,"["" CASTILLO,KARL DAVID""]",40,9,999,0,0
11197,EMES 506,EMES,506,1,3856,PHYS OCEANOGRAPHY,Lecture(In Person On Campus Learners),4,A, Murray Hall, G201 , TuTh , 11:00 - 12:15,"["" SEIM,HARVEY E"","" SEIM,HARVEY E""]",30,2,999,0,0
11198,EMES 525,EMES,525,1,14410,EARTH MARINE MODELLING,Lecture(In Person On Campus Learners),3,A, Mitchell Hall, 121A , MWF , 11:15 - 12:05,"["" LEES,JONATHAN M""]",24,7,999,0,0
11199,EMES 590,EMES,590,2,14123,SPECIAL TOPICS,Lecture(In Person On Campus Learners),4-Jan,A, Mitchell Hall, 121A , TuTh , 15:30 - 16:45 TBA,"["" Flores Reyes,Kennet Eduardo""]",24,2,999,0,0
11200,EMES 655,EMES,655,1,14124,NOVEL STABLE ISOTOPES,Lecture(In Person On Campus Learners),3,A, Mitchell Hall,9, M , 14:30 - 17:20,"["" Liu,Xiaoming""]",29,2,999,0,0
11201,EMES 700,EMES,700,1,14917,EMERGING TOPICS IN EMES,Lecture(In Person On Campus Learners),3,A, Murray Hall, G205 , MF , 09:05 - 09:55,"["" RODRIGUEZ,ANTONIO B"","" RODRIGUEZ,ANTONIO B""]",30,21,999,0,0
11202,EMES 701,EMES,701,1,14792,SCIENCE COMMUNICATION,Lecture(In Person On Campus Learners),3,A, Phillips Hall,247, F , 12:20 - 14:50,"["" MARCHETTI,ADRIAN""]",30,11,999,0,0
11203,EMES 857,EMES,857,1,14904,SEMINAR IN GEOCHEMISTRY,Lecture(In Person On Campus Learners),15-Jan,A, Mitchell Hall,108, F , 14:30 - 17:20,"["" Liu,Xiaoming""]",10,0,999,0,0
11204,EMES 895,EMES,895,1,14752,SPEC TOPICS PHYSICAL OCEANOGR,Lecture(Remote Only - Synchronous),9-Jan,A, Venable Hall, G307 , MWF , 09:05 - 09:55 Physical Oceanograph,"["" Rosman,Johanna""]",20,3,999,0,0
11205,EMES 900,EMES,900,55,6392,EARTH MARINE RESEARCH,Lecture(In Person On Campus Learners),15-Feb,A, TBA, TBA , TBA , TBA,"["" Staff""]",5,0,999,0,0
11206,EMES 993,EMES,993,49,15203,MASTER'S RESEARCH AND THESIS,Lecture(In Person On Campus Learners),3,A, TBA, TBA , TBA , TBA,"["" Nye,Janet Ashley""]",5,0,999,0,0
11207,EMES 994,EMES,994,49,11467,DOCT RESEARCH,AND(In Person On Campus Learners),DISSERTATIONLecture 3,A, TBA, TBA , TBA , TBA,"["" Nye,Janet Ashley""]",5,1,999,0,0
11208,ENEC 89,ENEC,89,1,14056,FYS: SPECIAL TOPICS,Lecture(In Person On Campus Learners),3,A, Venable Hall, G311 , TuTh , 15:30 - 16:45 EXAMIN CAMPUS SUSTAI,"["" Cooke,Amy Elizabeth""]",22,22,0,0,0
11209,ENEC 201,ENEC,201,736,12737,ENVIRONMENT AND SOCIETY,Recitation(In Person On Campus Learners),4,A, Stone Center,200, M , 15:35 - 16:25,"["" Gangi,Gregory Joseph""]",14,14,999,0,0
11210,ENEC 202,ENEC,202,403,7202,ENVIRONMENTAL SCIENCE,Lab(In Person On Campus Learners),4,A, Venable Hall,3302, Th , 09:00 - 10:50,"["" BELL,GEOFFREY""]",20,16,999,0,0
11211,ENEC 204,ENEC,204,01S,10042,ENVIRONMENTAL SEMINAR,Lecture(In Person On Campus Learners),3-Jan,A, TBA, TBA , TBA , TBA,"["" COSTA,JAMES THOMAS""]",20,0,999,0,0
11212,ENEC 222,ENEC,222,601,9417,ESTUARINE PROCESSES,Recitation(In Person On Campus Learners),4,A, Venable Hall, G307 , Th , 17:00 - 18:15,"["" ALPERIN,MARC J""]",30,25,999,0,0
11213,ENEC 237,ENEC,237,1,17587,"FOOD, ENVIRON",&(In Person On Campus Learners),SUSTAINABILITYLecture 3,A, TBA, TBA , TBA , TBA,"["" Staff""]",7,5,0,0,0
11214,ENEC 241,ENEC,241,1,7204,SEMINAR THAI FIELD SITE,Lecture(In Person On Campus Learners),1,A, Venable Hall, G307 , W , 17:00 - 17:50,"["" Kamens,Richard M.""]",25,2,999,0,0
11215,ENEC 256,ENEC,256,01S,10043,MOUNTAIN BIODIVERSITY,Lecture(In Person On Campus Learners),4,A, TBA, TBA , TBA , TBA,"["" COSTA,JAMES THOMAS""]",20,0,999,0,0
11216,ENEC 264,ENEC,264,01S,10044,BIODIVERSITY CONSERVATION,Lecture(In Person On Campus Learners),3,A, TBA, TBA , TBA , TBA,"["" COSTA,JAMES THOMAS""]",20,0,999,0,0
11217,ENEC 272,ENEC,272,402,14707,LOCAL FLORA,Lab(In Person On Campus Learners),3,A, Wilson Hall,140, W , 13:25 - 16:20,"["" Staff""]",2,2,999,1,0
11218,ENEC 307,ENEC,307,2,17190,ENERGY & MATERIAL FLOWS IN,ENVLecture(In Person On Campus Learners),3,A, Gardner Hall,1, TuTh , 12:30 - 13:45,"["" Hatcher,David James""]",30,0,0,0,0
11219,ENEC 330,ENEC,330,1,8569,PRINCIPLES OF SUSTAINABILITY,Lecture(In Person On Campus Learners),3,A, Venable Hall, G307 , TuTh , 11:00 - 12:15,"["" Staff""]",30,30,999,30,0
